Date,Home_Team,Away_Team,Home_Odds,Draw_Odds,Away_Odds,Competition,Source
2016-03-26,Rebels,Highlanders,3.01,23.85,1.41,Data,aussportsbetting.com
2016-03-27,Reds,Waratahs,3.31,24.24,1.34,Data,aussportsbetting.com
2016-04-01,Highlanders,Force,1.07,38.64,8.26,Data,aussportsbetting.com
2016-04-01,Lions,Crusaders,2.06,21.59,1.79,Data,aussportsbetting.com
2016-04-02,Blues,Jaguares,1.3,25.56,3.57,Data,aussportsbetting.com
2016-04-02,Brumbies,Chiefs,1.48,22.03,2.71,Data,aussportsbetting.com
2016-04-02,Kings,Sunwolves,1.64,21.94,2.32,Data,aussportsbetting.com
2016-04-02,Bulls,Cheetahs,1.3,25.86,3.58,Data,aussportsbetting.com
2016-04-03,Waratahs,Rebels,1.33,24.65,3.35,Data,aussportsbetting.com
2016-04-08,Stormers,Sunwolves,1.02,48.63,14.69,Data,aussportsbetting.com
2016-04-08,Chiefs,Blues,1.17,28.69,5.07,Data,aussportsbetting.com
2016-04-08,Force,Crusaders,3.99,26.34,1.25,Data,aussportsbetting.com
2016-04-09,Reds,Highlanders,3.3,25.02,1.34,Data,aussportsbetting.com
2016-04-09,Sharks,Lions,1.62,21.25,2.36,Data,aussportsbetting.com
2016-04-09,Kings,Bulls,5.41,31.46,1.15,Data,aussportsbetting.com
2016-04-09,Hurricanes,Jaguares,1.18,28.77,4.89,Data,aussportsbetting.com
2016-04-15,Crusaders,Jaguares,1.16,30.39,5.28,Data,aussportsbetting.com
2016-04-15,Rebels,Hurricanes,2.45,21.64,1.58,Data,aussportsbetting.com
2016-04-15,Cheetahs,Sunwolves,1.14,33.95,5.71,Data,aussportsbetting.com
2016-04-16,Blues,Sharks,1.42,22.41,2.97,Data,aussportsbetting.com
2016-04-16,Waratahs,Brumbies,2.07,20.87,1.8,Data,aussportsbetting.com
2016-04-16,Bulls,Reds,1.28,25.01,3.75,Data,aussportsbetting.com
2016-04-16,Lions,Stormers,1.57,20.58,2.5,Data,aussportsbetting.com
2016-04-22,Highlanders,Sharks,1.19,27.65,4.67,Data,aussportsbetting.com
