,Year,Home_Team,Home_Score,Away_Score,Away_Team,Date,Home_Rating,Away_Rating,Margin,Home_Away_Draw,Prob_Home,Prob_Away,Home_Rating_Updated,Away_Rating_Updated
162,1910,England,11,6,Wales,15 Jan 1910,1362.487867,1719.570447,5,1.0,0.165,0.835,1421.881137,1659.118863
163,1910,Scotland,27,0,France,22 Jan 1910,1567.512133,1150.429553,27,1.0,0.944,0.056,1574.409138,1142.590862
164,1910,Wales,14,0,Scotland,5 Feb 1910,1659.118863,1574.409138,14,1.0,0.715,0.285,1689.838359,1543.161641
165,1910,England,0,0,Ireland,12 Feb 1910,1421.881137,1325.979214,0,0.5,0.728,0.272,1421.0,1325.0
166,1910,Ireland,0,14,Scotland,26 Feb 1910,1325.0,1543.161641,-14,0.0,0.305,0.695,1291.946151,1576.053849
167,1910,France,3,11,England,3 Mar 1910,1142.590862,1421.0,-8,0.0,0.236,0.764,1121.246602,1441.753398
168,1910,Ireland,3,19,Wales,12 Mar 1910,1291.946151,1689.838359,-16,0.0,0.135,0.865,1275.720474,1704.279526
169,1910,Scotland,5,14,England,19 Mar 1910,1576.053849,1441.753398,-9,0.0,0.77,0.23,1505.088887,1511.911113
170,1910,France,3,8,Ireland,28 Mar 1910,1121.246602,1275.720474,-5,0.0,0.388,0.612,1093.172617,1302.827383
171,1910,Australia,0,6,New Zealand,25 Jun 1910,1315.084857,1774.759814,-6,0.0,0.099,0.901,1307.305932,1781.694068
172,1910,Australia,11,0,New Zealand,27 Jun 1910,1307.305932,1781.694068,11,1.0,0.091,0.909,1397.346404,1690.653596
173,1910,Australia,13,28,New Zealand,2 Jul 1910,1397.346404,1690.653596,-15,0.0,0.222,0.778,1372.389653,1714.610347
174,1910,South Africa,14,10,Britain,6 Aug 1910,1542.0,1631.729247,4,1.0,0.48,0.52,1575.485723,1597.514277
175,1910,South Africa,3,8,Britain,27 Aug 1910,1575.485723,1597.514277,-5,0.0,0.576,0.424,1533.743137,1638.256863
176,1910,South Africa,21,5,Britain,3 Sep 1910,1533.743137,1638.256863,16,1.0,0.457,0.543,1594.547339,1576.452661
177,1911,France,16,15,Scotland,2 Jan 1911,1093.172617,1505.088887,1,1.0,0.126,0.874,1117.250222,1480.749778
178,1911,Wales,15,11,England,21 Jan 1911,1704.279526,1511.911113,4,1.0,0.824,0.176,1715.33602,1499.66398
179,1911,England,37,0,France,28 Jan 1911,1499.66398,1117.250222,37,1.0,0.933,0.067,1508.772291,1107.227709
180,1911,Scotland,10,32,Wales,4 Feb 1911,1480.749778,1715.33602,-22,0.0,0.285,0.715,1444.280076,1750.719924
181,1911,Ireland,3,0,England,11 Feb 1911,1302.827383,1508.772291,3,1.0,0.32,0.68,1339.7173,1470.2827
182,1911,Scotland,10,16,Ireland,25 Feb 1911,1444.280076,1339.7173,-6,0.0,0.738,0.262,1386.560679,1396.439321
183,1911,France,0,15,Wales,28 Feb 1911,1107.227709,1750.719924,-15,0.0,0.037,0.963,1102.936286,1754.063714
184,1911,Wales,16,0,Ireland,11 Mar 1911,1754.063714,1396.439321,16,1.0,0.924,0.076,1762.652953,1387.347047
185,1911,England,13,8,Scotland,18 Mar 1911,1470.2827,1386.560679,5,1.0,0.714,0.286,1490.488086,1365.511914
186,1911,Ireland,25,5,France,25 Mar 1911,1387.347047,1102.936286,20,1.0,0.888,0.112,1400.612221,1088.387779
187,1912,France,6,11,Ireland,1 Jan 1912,1088.387779,1400.612221,-5,0.0,0.204,0.796,1073.407899,1414.592101
188,1912,England,8,0,Wales,20 Jan 1912,1490.488086,1762.652953,8,1.0,0.243,0.757,1556.510613,1695.489387
189,1912,Scotland,31,3,France,20 Jan 1912,1365.511914,1073.407899,28,1.0,0.892,0.108,1379.52485,1058.47515
190,1912,Wales,21,6,Scotland,3 Feb 1912,1695.489387,1379.52485,15,1.0,0.905,0.095,1705.563278,1368.436722
191,1912,England,15,0,Ireland,10 Feb 1912,1556.510613,1414.592101,15,1.0,0.777,0.223,1580.708286,1389.291714
192,1912,Ireland,10,8,Scotland,24 Feb 1912,1389.291714,1368.436722,2,1.0,0.635,0.365,1405.049053,1351.950947
193,1912,Ireland,12,5,Wales,9 Mar 1912,1405.049053,1705.563278,7,1.0,0.215,0.785,1470.313612,1639.686388
194,1912,Scotland,8,3,England,16 Mar 1912,1351.950947,1580.708286,5,1.0,0.292,0.708,1401.76416,1529.23584
195,1912,Wales,14,8,France,25 Mar 1912,1639.686388,1058.47515,6,1.0,0.978,0.022,1640.742438,1056.257562
196,1912,France,8,18,England,8 Apr 1912,1056.257562,1529.23584,-10,0.0,0.092,0.908,1047.185417,1537.814583
197,1912,USA,8,12,Australia,16 Nov 1912,1500,1372.389653,-4,0.0,0.763,0.237,1450.899094,1421.100906
198,1912,Scotland,0,16,South Africa,23 Nov 1912,1401.76416,1594.547339,-16,0.0,0.336,0.664,1362.867675,1632.132325
199,1912,Ireland,0,38,South Africa,30 Nov 1912,1470.313612,1632.132325,-38,0.0,0.377,0.623,1414.696063,1687.303937
200,1912,Wales,0,3,South Africa,14 Dec 1912,1640.742438,1687.303937,-3,0.0,0.54,0.46,1610.04559,1716.95441
201,1913,France,3,21,Scotland,1 Jan 1913,1047.185417,1362.867675,-18,0.0,0.201,0.799,1023.348542,1385.651458
202,1913,England,3,9,South Africa,4 Jan 1913,1537.814583,1716.95441,-6,0.0,0.355,0.645,1509.391861,1743.608139
203,1913,France,5,38,South Africa,11 Jan 1913,1023.348542,1743.608139,-33,0.0,0.024,0.976,1019.637963,1746.362037
204,1913,Wales,0,12,England,18 Jan 1913,1610.04559,1509.391861,-12,0.0,0.734,0.266,1534.746652,1584.253348
205,1913,England,20,0,France,25 Jan 1913,1584.253348,1019.637963,20,1.0,0.975,0.025,1586.982753,1016.017247
206,1913,Scotland,0,8,Wales,1 Feb 1913,1385.651458,1534.746652,-8,0.0,0.395,0.605,1350.272885,1568.727115
207,1913,Ireland,4,15,England,8 Feb 1913,1414.696063,1586.982753,-11,0.0,0.364,0.636,1377.822927,1622.177073
208,1913,Scotland,29,14,Ireland,22 Feb 1913,1350.272885,1377.822927,15,1.0,0.569,0.431,1397.836215,1329.163785
209,1913,France,8,11,Wales,27 Feb 1913,1016.017247,1568.727115,-3,0.0,0.06,0.94,1012.653676,1571.346324
210,1913,Wales,16,13,Ireland,8 Mar 1913,1571.346324,1329.163785,3,1.0,0.861,0.139,1578.697454,1321.302546
211,1913,England,3,0,Scotland,15 Mar 1913,1622.177073,1397.836215,3,1.0,0.849,0.151,1630.369429,1388.630571
