Team,xWins,Wins,Performance
Japan President's XV,0.155,0.0,-0.155
Cornwall-Devon,0.157,0.0,-0.157
Mongolia,3.157,3.0,-0.15700000000000003
Canadian Wolverines,0.158,0.0,-0.158
New South Wales XV,0.161,0.0,-0.161
SA Mining XV,0.162,0.0,-0.162
Wasps,0.162,0.0,-0.162
Boland Kavaliers,4.164,4.0,-0.1639999999999997
Mauritania,1.165,1.0,-0.16500000000000004
Kyushu,0.6659999999999999,0.5,-0.16599999999999993
South African Coloured XV,0.166,0.0,-0.166
Yorshire / Cumberland,0.16699999999999998,0.0,-0.16699999999999998
North-West Counties,0.168,0.0,-0.168
Queenstown,0.171,0.0,-0.171
West of Scotland,0.174,0.0,-0.174
New England,0.175,0.0,-0.175
Lancashire,0.177,0.0,-0.177
Queensland B,1.179,1.0,-0.17900000000000005
Natal Country,0.18,0.0,-0.18
Northern Region,0.18,0.0,-0.18
Leicester & East Midlands,0.181,0.0,-0.181
RC Toulonnais,29.697,29.5,-0.19699999999999918
Uganda A,1.1989999999999998,1.0,-0.19899999999999984
Ashburton County / North Otago,0.199,0.0,-0.199
Guatemala,7.705,7.5,-0.20500000000000007
New Zealand Cavaliers,8.205,8.0,-0.20500000000000007
Lancashire / Cheshire,0.20600000000000002,0.0,-0.20600000000000002
Northern OFS,0.208,0.0,-0.208
North Otago,3.2110000000000003,3.0,-0.2110000000000003
Waikato / King Country / Thames Valley,0.217,0.0,-0.217
Salta,0.218,0.0,-0.218
Poverty Bay / Bay of Plenty / East Coast,0.21899999999999997,0.0,-0.21899999999999997
USA Development XV,0.219,0.0,-0.219
Vancouver,0.223,0.0,-0.223
South Africa Country Districts,1.225,1.0,-0.2250000000000001
Central Region,0.227,0.0,-0.227
Western Districts,0.232,0.0,-0.232
Select XV,0.7330000000000001,0.5,-0.2330000000000001
Nadi,0.23399999999999999,0.0,-0.23399999999999999
Spanish Presidents XV,0.234,0.0,-0.234
Fiji Juniors,0.236,0.0,-0.236
South African Colleges,0.237,0.0,-0.237
Fiji Development XV,0.251,0.0,-0.251
Yorkshire,0.252,0.0,-0.252
Boland Country,0.252,0.0,-0.252
Mashonaland,1.2520000000000002,1.0,-0.2520000000000002
Western Province,13.252,13.0,-0.25200000000000067
Moscow,0.756,0.5,-0.256
Tarn,0.261,0.0,-0.261
Armed Forces,0.262,0.0,-0.262
Rewa,0.264,0.0,-0.264
Patrons XV,0.266,0.0,-0.266
Rebel Rising,0.268,0.0,-0.268
Transvaal Universities,0.269,0.0,-0.269
Marlborough / Nelson Bays,0.271,0.0,-0.271
Sydney Academy,2.274,2.0,-0.274
Northern Union,0.28,0.0,-0.28
Eastern Province Country,0.28,0.0,-0.28
Suva European XV,0.287,0.0,-0.287
Limousin-Auvergne,0.288,0.0,-0.288
US Falcons,6.289000000000001,6.0,-0.2890000000000006
East Midlands,1.293,1.0,-0.2929999999999999
Namibia South Sub-Union,0.294,0.0,-0.294
Réunion,3.296,3.0,-0.2959999999999998
North-East Counties,0.298,0.0,-0.298
Varsavia Select XV,0.299,0.0,-0.299
Western Province Colleges,0.3,0.0,-0.3
Manuma Samoa,3.302,3.0,-0.30200000000000005
Matabeleland,0.303,0.0,-0.303
Durban,0.307,0.0,-0.307
Transvaal XV,0.308,0.0,-0.308
Metropolitan,0.30800000000000005,0.0,-0.30800000000000005
Northland,6.3149999999999995,6.0,-0.3149999999999995
Vava'u & 'Ena Combined,0.316,0.0,-0.316
Midlands,0.316,0.0,-0.316
Southern RFU,0.317,0.0,-0.317
Mali A,2.317,2.0,-0.31700000000000017
South Africa Development XV,0.318,0.0,-0.318
North Queensland,0.319,0.0,-0.319
Fiji European,0.32,0.0,-0.32
Kent,0.324,0.0,-0.324
West Coast / Buller,1.325,1.0,-0.32499999999999996
